key,from,until,prose,from_lines,written
pl-579885,-594,-561,"By the seventh century the land was mortgaged and the men who worked it could be sold for the debt on it. **Solon** cancelled the debts, forbade the security of a man's own body, and wrote a code to replace **Draco**'s, which was remembered as having one penalty for everything. Then he left the city for ten years so that nobody could ask him to amend it.",-594,"assistant, 9 Sep 2026"
pl-579885,-561,-510,"**Peisistratos** took the city three times and held it the third. A tyranny in the old sense — an unconstitutional ruler, not necessarily a cruel one — and it built: the great temple begun, the water brought in, the **Panathenaia** made splendid. It was paid for partly out of the silver at **Laureion**, which the tyrants drew on before the city as a whole did. His sons were harder and were driven out.",-561,"assistant, 9 Sep 2026"
pl-579885,-508,-490,"What **Kleisthenes** did was stranger than democracy. He cut the citizen body into a hundred and forty demes and grouped them into ten tribes ON PURPOSE ACROSS THE OLD LOYALTIES — a coastal deme, an inland one and a city one in each — so that a tribe could not be a family's power base. The tribes were artificial and everyone knew it. They lasted four centuries.",-508,"assistant, 9 Sep 2026"
pl-579885,-480,-479,"In **480 BC** the city was evacuated. The fleet took the population to **Salamis** and **Troizen**, the **Persians** came over the wall of the **Acropolis** by a path the defenders had left unwatched, and everything on the rock was burned. They came back to ash and made a decision about it: the ruined temples were left standing for a generation, unrepaired, so that the city could see what had been done to it.",-480,"assistant, 9 Sep 2026"
pl-579885,-447,-432,"The **Parthenon** went up on the burnt foundations, fifteen years of work paid for out of the tribute of the empire — which is the part the building does not say. **Perikles** was accused of dressing the city up like a vain woman with money that belonged to the allies. The accusation was true and the building is still there.",-447,"assistant, 9 Sep 2026"
pl-579885,-431,-404,"Then twenty-seven years of war with **Sparta**, and in the second summer a plague that killed something like a third of the people inside the walls. **Thucydides** had it himself and wrote it down deliberately — the symptoms in order, so it could be recognised again — and recorded that the burial customs failed, bodies thrown onto other men's pyres. The city won battles for another twenty years and never recovered the men.",-431,"assistant, 9 Sep 2026"
pl-579885,-399,-399,"Five years after the surrender, a jury of five hundred and one condemned **Sokrates** for impiety and corrupting the young. The vote to convict was close and the vote on the penalty was not, because he proposed free meals for life as an alternative to death. He could have left. The **Athenians** who condemned him were the same demos he had spent thirty years making uncomfortable.",-399,"assistant, 9 Sep 2026"
pl-579885,-338,-322,"At **Chaeronea** in **338 BC**, **Philip** of **Macedon** broke the allied line and with it the independence of the Greek cities. **Athens** kept her walls and her courts and lost the ability to decide anything that mattered. **Demosthenes**, who had spent his career warning about exactly this, wrote the funeral speech for the dead.",-338,"assistant, 9 Sep 2026"
pl-579885,-86,-86,"**Athens** backed **Mithridates** against **Rome** and **Sulla** came for it. He besieged the city through the winter, took it in the spring of **86 BC**, and let the army into the streets. The **Piraeus** was burned to the ground. The city stopped being a power that day and became what it was afterwards: a university town with famous ruins.",-86,"assistant, 9 Sep 2026"
pl-579885,267,267,"The **Herulians** came down from the **Black Sea** and sacked the city. What Athens built afterwards is the honest monument: a smaller wall, thrown up in haste north of the **Acropolis**, made out of the rubble of its own broken buildings. Column drums and inscribed statue bases went into it sideways, and are still readable in the masonry.",267,"assistant, 9 Sep 2026"
pl-579885,1687,1687,"The **Ottomans** were storing powder in the **Parthenon** when the **Venetians** besieged the **Acropolis** in **1687**. A mortar shell found it. The building had stood for two thousand one hundred and thirty years, through fire, conversion to a church and conversion to a mosque, and came apart in an afternoon.",1687,"assistant, 9 Sep 2026"
pl-580021,-1250,-1200,"Before the battle this plain was where the bull was. **Plutarch** has **Theseus** taking the **Marathonian** bull alive as the first of his labours near the city, and going on from that to **Crete** and the other bull that was not a bull. The story is older than anything else attached to this ground.",-1250,"assistant, 9 Sep 2026"
pl-580021,-546,-546,"**Herodotus** puts **Peisistratos** ashore here in **546 BC**, coming back from exile for the third and final attempt on **Athens**. He landed at **Marathon** because the deme was friendly and the plain gave him room to gather men, then walked to the city and won a battle at **Pallene** on the way in. The beach was chosen for the same reasons the **Persians** would choose it fifty-six years later.",-546,"assistant, 9 Sep 2026"
pl-580021,-490,-490,"In **490 BC** the **Persian** fleet put an army on this beach, and the ground decided the shape of what followed. Marsh at both ends of the plain meant the front could not be widened, so the numbers on the Persian side counted for less than they should have. The **Athenians** held the high edge for days and then came down it at a run.",-490,"assistant, 9 Sep 2026"
pl-1001897,-2000,-1450,"For five centuries there were palaces here and no walls around them, which is the fact that everything else about **Minoan** **Crete** is inferred from. **Knossos** and **Phaistos** ran a sea power out of unfortified buildings, kept accounts in a script nobody has read, and then stopped — around **1450 BC**, in a way still argued about.",-2000,"assistant, 9 Sep 2026"
pl-1001897,-1400,-1200,"What **Athens** remembered about **Crete** was tribute. Seven youths and seven maidens sent to the labyrinth, and **Theseus** going with them to end it — a story about a mainland city that had once been subject to an island, told long afterwards by the city that had stopped being subject. **Plutarch** repeats it and is uneasy about the details.",-1400,"assistant, 9 Sep 2026"
pl-1001897,-350,-330,"**Aristotle** read **Crete** as a constitution rather than a legend. In the **Politics** he sets the **Cretan** system beside the **Spartan** and treats the island as the older of the two — the arrangement **Lykourgos** is supposed to have studied and copied. The common messes, the magistrates, the training of the young: **Sparta** did not invent them.",-350,"assistant, 9 Sep 2026"
pl-1001897,-69,-67,"**Rome** took three years and three campaigns to finish it, which for an island was long. **Metellus** earned the name **Creticus** for it. Afterwards **Crete** was administered with **Cyrene** across the water as a single province, a pairing that made sense to a fleet and to nobody who lived in either place.",-69,"assistant, 9 Sep 2026"
